Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,PHI,Set,IDT_ms_pred
1,1.62,0.61,20.87,78.52,1.96,1091.5,0.5,Training,1.5952000000000004
2,0.992,0.61,20.87,78.52,2.06,1157.9,0.5,Training,1.086
3,0.815,0.61,20.87,78.52,2.03,1210.0,0.5,Training,0.8198000000000001
4,0.619,0.61,20.87,78.52,1.98,1255.6,0.5,Training,0.619
5,0.24,0.61,20.87,78.52,2.08,1327.2,0.5,Training,0.2686
6,0.171,0.61,20.87,78.52,1.96,1386.3,0.5,Training,0.1542
7,0.121,0.61,20.87,78.52,2.01,1457.9,0.5,Training,0.118
9,0.077,0.61,20.87,78.52,2.04,1516.1,0.5,Training,0.077
10,0.046,0.61,20.87,78.52,2.06,1585.2,0.5,Training,0.05300000000000014
11,2.388,0.61,20.87,78.52,10.5,1070.7,0.5,Training,1.9939999999999998
12,0.643,0.61,20.87,78.52,10.9,1109.6,0.5,Training,0.7112
13,0.344,0.61,20.87,78.52,9.31,1164.1,0.5,Training,0.40859999999999996
15,0.03,0.61,20.87,78.52,10.7,1372.1,0.5,Training,0.030600000000000002
16,0.024,0.61,20.87,78.52,10.8,1382.9,0.5,Training,0.0282
19,1.1,1.25,20.74,78.01,2.1,1166.6,1.0,Training,1.0066000000000002
20,0.63,1.25,20.74,78.01,1.98,1261.5,1.0,Training,0.521
21,0.398,1.25,20.74,78.01,2.04,1312.9,1.0,Training,0.375
22,0.211,1.25,20.74,78.01,2.0,1370.4,1.0,Training,0.22360000000000002
23,0.126,1.25,20.74,78.01,2.1,1434.5,1.0,Training,0.1362
25,0.07,1.25,20.74,78.01,1.89,1484.1,1.0,Training,0.081
26,0.041,1.25,20.74,78.01,2.05,1570.9,1.0,Training,0.0554
27,2.746,1.25,20.74,78.01,10.7,922.2,1.0,Training,3.534560000000001
28,1.823,1.25,20.74,78.01,9.97,988.9,1.0,Training,1.6921999999999997
29,1.475,1.25,20.74,78.01,9.42,1011.4,1.0,Training,1.6219999999999999
30,0.693,1.25,20.74,78.01,9.32,1069.5,1.0,Training,1.0944
32,0.358,1.25,20.74,78.01,10.0,1151.0,1.0,Training,0.4154
33,0.213,1.25,20.74,78.01,10.2,1211.2,1.0,Training,0.22040000000000004
34,0.126,1.25,20.74,78.01,9.91,1290.0,1.0,Training,0.1392000000000001
35,0.055,1.25,20.74,78.01,9.44,1355.9,1.0,Training,0.0656
36,0.013,1.25,20.74,78.01,10.14,1439.4,1.0,Training,0.042600000000000006
37,1.552,2.47,20.48,77.05,2.0,1150.3,2.0,Training,1.3214000000000001
38,0.957,2.47,20.48,77.05,1.97,1194.0,2.0,Training,0.7208000000000001
39,0.827,2.47,20.48,77.05,1.98,1246.0,2.0,Training,0.6776
40,0.448,2.47,20.48,77.05,2.08,1325.5,2.0,Training,0.44800000000000006
41,0.208,2.47,20.48,77.05,2.08,1426.7,2.0,Training,0.1868
42,0.163,2.47,20.48,77.05,1.93,1477.1,2.0,Training,0.095
43,0.081,2.47,20.48,77.05,2.0,1553.6,2.0,Training,0.0704
44,1.81,2.47,20.48,77.05,11.1,1041.4,2.0,Training,1.7666000000000002
45,0.916,2.47,20.48,77.05,9.55,1080.8,2.0,Training,1.0986
46,0.289,2.47,20.48,77.05,10.36,1161.2,2.0,Training,0.2954
47,0.198,2.47,20.48,77.05,10.24,1211.5,2.0,Training,0.21517999999999998
48,0.082,2.47,20.48,77.05,9.43,1332.9,2.0,Training,0.07460000000000001
49,0.067,2.47,20.48,77.05,9.3,1356.6,2.0,Training,0.0694
52,0.759,0.65,20.86,78.48,1.91,1195.8,0.5,Training,0.7488
53,0.389,0.65,20.86,78.48,1.9,1266.4,0.5,Training,0.4706000000000001
54,0.204,0.65,20.86,78.48,2.07,1345.5,0.5,Training,0.24980000000000002
55,0.149,0.65,20.86,78.48,1.96,1386.9,0.5,Training,0.1714
56,0.12,0.65,20.86,78.48,1.97,1432.7,0.5,Training,0.16019999999999998
57,0.058,0.65,20.86,78.48,1.99,1498.1,0.5,Training,0.0656
58,0.059,0.65,20.86,78.48,2.02,1513.3,0.5,Training,0.0656
60,0.799,0.65,20.86,78.48,10.2,1110.7,0.5,Training,0.7666000000000001
61,0.345,0.65,20.86,78.48,9.57,1172.9,0.5,Training,0.3972
62,0.193,0.65,20.86,78.48,10.48,1236.1,0.5,Training,0.22119999999999998
64,0.096,0.65,20.86,78.48,9.82,1289.3,0.5,Training,0.1604000000000001
66,0.04,0.65,20.86,78.48,10.56,1363.2,0.5,Training,0.03960000000000102
67,0.039,0.65,20.86,78.48,10.5,1373.9,0.5,Training,0.03920000000000102
68,2.042,1.3,20.73,77.98,1.98,1085.9,1.0,Training,1.4689999999999999
69,1.335,1.3,20.73,77.98,2.06,1115.5,1.0,Training,1.2076
70,1.188,1.3,20.73,77.98,2.09,1128.0,1.0,Training,1.2174
71,0.959,1.3,20.73,77.98,1.91,1137.5,1.0,Training,1.1642
72,0.661,1.3,20.73,77.98,2.02,1206.8,1.0,Training,0.8150000000000001
74,0.467,1.3,20.73,77.98,1.93,1282.0,1.0,Training,0.46840000000000015
75,0.297,1.3,20.73,77.98,2.05,1368.0,1.0,Training,0.2534
76,0.186,1.3,20.73,77.98,2.01,1414.8,1.0,Training,0.1788
77,0.142,1.3,20.73,77.98,1.92,1471.3,1.0,Training,0.10659999999999999
79,0.056,1.3,20.73,77.98,2.0,1600.7,1.0,Training,0.044600000000000146
80,0.035,1.3,20.73,77.98,1.96,1683.8,1.0,Training,0.03500000000000019
81,1.493,1.3,20.73,77.98,10.69,1028.1,1.0,Training,1.5590000000000002
82,1.237,1.3,20.73,77.98,9.69,1058.1,1.0,Training,1.2398
83,0.602,1.3,20.73,77.98,10.37,1090.2,1.0,Training,0.6736
84,0.399,1.3,20.73,77.98,10.89,1114.9,1.0,Training,0.46720000000000006
85,0.371,1.3,20.73,77.98,10.31,1124.9,1.0,Training,0.4232
86,0.242,1.3,20.73,77.98,9.56,1177.6,1.0,Training,0.2542
87,0.174,1.3,20.73,77.98,10.05,1224.6,1.0,Training,0.22254000000000002
88,0.146,1.3,20.73,77.98,9.59,1247.2,1.0,Training,0.1696
89,0.104,1.3,20.73,77.98,10.95,1270.0,1.0,Training,0.13879999999999998
90,0.063,1.3,20.73,77.98,10.8,1306.3,1.0,Training,0.07820000000000002
91,0.042,1.3,20.73,77.98,10.78,1343.2,1.0,Training,0.06300000000000001
92,0.945,2.56,20.46,76.98,2.07,1169.5,2.0,Training,0.7486
93,0.933,2.56,20.46,76.98,2.1,1182.7,2.0,Training,0.7486
95,0.46,2.56,20.46,76.98,2.1,1284.8,2.0,Training,0.30740000000000006
96,0.434,2.56,20.46,76.98,2.0,1300.2,2.0,Training,0.3615999999999999
97,0.281,2.56,20.46,76.98,1.99,1347.0,2.0,Training,0.331
98,0.175,2.56,20.46,76.98,2.0,1402.6,2.0,Training,0.3126
99,0.142,2.56,20.46,76.98,2.08,1487.5,2.0,Training,0.12699999999999997
100,0.092,2.56,20.46,76.98,1.98,1544.4,2.0,Training,0.10319999999999999
101,1.875,2.56,20.46,76.98,9.68,1020.8,2.0,Training,6.463
102,0.731,2.56,20.46,76.98,10.65,1075.0,2.0,Training,4.440400000000003
103,0.338,2.56,20.46,76.98,9.38,1136.9,2.0,Training,0.40940000000000004
104,0.151,2.56,20.46,76.98,10.38,1218.1,2.0,Training,0.205
105,0.085,2.56,20.46,76.98,9.63,1279.5,2.0,Training,2.1542000000000003
107,1.472,0.64,20.87,78.5,1.92,1131.9,0.5,Training,1.3694
108,0.806,0.64,20.87,78.5,2.09,1179.2,0.5,Training,0.8648
109,0.368,0.64,20.87,78.5,2.1,1229.6,0.5,Training,0.4556
110,0.271,0.64,20.87,78.5,2.02,1294.0,0.5,Training,0.33879999999999943
112,0.08,0.64,20.87,78.5,2.02,1408.6,0.5,Training,0.09400000000000001
114,1.82,0.64,20.87,78.5,9.42,1025.2,0.5,Training,1.9096000000000004
115,0.77,0.64,20.87,78.5,10.44,1099.3,0.5,Training,0.8251999999999999
116,0.444,0.64,20.87,78.5,10.23,1134.9,0.5,Training,0.6096000000000003
119,0.166,0.64,20.87,78.5,9.99,1266.7,0.5,Training,0.177
121,0.032,0.64,20.87,78.5,10.14,1357.7,0.5,Training,0.045200000000000004
122,1.322,1.27,20.73,78.0,2.07,1123.1,1.0,Training,1.2534
124,0.61,1.27,20.73,78.0,2.04,1212.9,1.0,Training,0.8276
126,0.533,1.27,20.73,78.0,2.09,1251.9,1.0,Training,0.6454000000000001
128,0.15,1.27,20.73,78.0,2.02,1409.2,1.0,Training,0.15000000000000002
129,0.095,1.27,20.73,78.0,1.9,1456.7,1.0,Training,0.1154
130,0.052,1.27,20.73,78.0,2.06,1532.2,1.0,Training,0.0604
131,0.035,1.27,20.73,78.0,2.09,1591.1,1.0,Training,0.039600000000000156
132,1.2,1.27,20.73,78.0,10.07,1052.8,1.0,Training,1.3294000000000001
134,0.401,1.27,20.73,78.0,10.21,1129.8,1.0,Training,0.5088
135,0.342,1.27,20.73,78.0,9.25,1161.7,1.0,Training,0.40380000000000005
136,0.249,1.27,20.73,78.0,9.47,1202.1,1.0,Training,0.25700000000000006
138,0.046,1.27,20.73,78.0,9.55,1371.7,1.0,Training,0.07059999999999998
139,0.012,1.27,20.73,78.0,10.63,1470.8,1.0,Training,0.02920000000000102
141,0.687,2.5,20.48,77.03,1.92,1180.5,2.0,Training,0.7072000000000003
142,0.665,2.5,20.48,77.03,1.97,1223.5,2.0,Training,0.6034000000000002
