Point,X_Fuel,X_O2,X_N2,X_Ar,X_He,P,T,PHI
1,0.61,20.87,78.52,0,0,1.96,1091.5,0.5
2,0.61,20.87,78.52,0,0,2.06,1157.9,0.5
3,0.61,20.87,78.52,0,0,2.03,1210,0.5
4,0.61,20.87,78.52,0,0,1.98,1255.6,0.5
5,0.61,20.87,78.52,0,0,2.08,1327.2,0.5
6,0.61,20.87,78.52,0,0,1.96,1386.3,0.5
7,0.61,20.87,78.52,0,0,2.01,1457.9,0.5
8,0.61,20.87,78.52,0,0,2.16,1501,0.5
9,0.61,20.87,78.52,0,0,2.04,1516.1,0.5
10,0.61,20.87,78.52,0,0,2.06,1585.2,0.5
11,0.61,20.87,78.52,0,0,10.5,1070.7,0.5
12,0.61,20.87,78.52,0,0,10.9,1109.6,0.5
13,0.61,20.87,78.52,0,0,9.31,1164.1,0.5
14,0.61,20.87,78.52,0,0,9.69,1281.8,0.5
15,0.61,20.87,78.52,0,0,10.7,1372.1,0.5
16,0.61,20.87,78.52,0,0,10.8,1382.9,0.5
17,0.61,20.87,78.52,0,0,10.6,1386.5,0.5
18,1.25,20.74,78.01,0,0,1.81,1095,1
19,1.25,20.74,78.01,0,0,2.1,1166.6,1
20,1.25,20.74,78.01,0,0,1.98,1261.5,1
21,1.25,20.74,78.01,0,0,2.04,1312.9,1
22,1.25,20.74,78.01,0,0,2,1370.4,1
23,1.25,20.74,78.01,0,0,2.1,1434.5,1
24,1.25,20.74,78.01,0,0,1.95,1484.1,1
25,1.25,20.74,78.01,0,0,1.89,1484.1,1
26,1.25,20.74,78.01,0,0,2.05,1570.9,1
27,1.25,20.74,78.01,0,0,10.7,922.2,1
28,1.25,20.74,78.01,0,0,9.97,988.9,1
29,1.25,20.74,78.01,0,0,9.42,1011.4,1
30,1.25,20.74,78.01,0,0,9.32,1069.5,1
31,1.25,20.74,78.01,0,0,9.65,1084.4,1
32,1.25,20.74,78.01,0,0,10,1151,1
33,1.25,20.74,78.01,0,0,10.2,1211.2,1
34,1.25,20.74,78.01,0,0,9.91,1290,1
35,1.25,20.74,78.01,0,0,9.44,1355.9,1
36,1.25,20.74,78.01,0,0,10.14,1439.4,1
37,2.47,20.48,77.05,0,0,2,1150.3,2
38,2.47,20.48,77.05,0,0,1.97,1194,2
39,2.47,20.48,77.05,0,0,1.98,1246,2
40,2.47,20.48,77.05,0,0,2.08,1325.5,2
41,2.47,20.48,77.05,0,0,2.08,1426.7,2
42,2.47,20.48,77.05,0,0,1.93,1477.1,2
43,2.47,20.48,77.05,0,0,2,1553.6,2
44,2.47,20.48,77.05,0,0,11.1,1041.4,2
45,2.47,20.48,77.05,0,0,9.55,1080.8,2
46,2.47,20.48,77.05,0,0,10.36,1161.2,2
47,2.47,20.48,77.05,0,0,10.24,1211.5,2
48,2.47,20.48,77.05,0,0,9.43,1332.9,2
49,2.47,20.48,77.05,0,0,9.3,1356.6,2
50,0.65,20.86,78.48,0,0,2.03,1158.8,0.5
51,0.65,20.86,78.48,0,0,1.95,1185.7,0.5
52,0.65,20.86,78.48,0,0,1.91,1195.8,0.5
53,0.65,20.86,78.48,0,0,1.9,1266.4,0.5
54,0.65,20.86,78.48,0,0,2.07,1345.5,0.5
55,0.65,20.86,78.48,0,0,1.96,1386.9,0.5
56,0.65,20.86,78.48,0,0,1.97,1432.7,0.5
57,0.65,20.86,78.48,0,0,1.99,1498.1,0.5
58,0.65,20.86,78.48,0,0,2.02,1513.3,0.5
59,0.65,20.86,78.48,0,0,10.16,1076.9,0.5
60,0.65,20.86,78.48,0,0,10.2,1110.7,0.5
61,0.65,20.86,78.48,0,0,9.57,1172.9,0.5
62,0.65,20.86,78.48,0,0,10.48,1236.1,0.5
63,0.65,20.86,78.48,0,0,10.67,1251.4,0.5
64,0.65,20.86,78.48,0,0,9.82,1289.3,0.5
65,0.65,20.86,78.48,0,0,10.2,1343.6,0.5
66,0.65,20.86,78.48,0,0,10.56,1363.2,0.5
67,0.65,20.86,78.48,0,0,10.5,1373.9,0.5
68,1.3,20.73,77.98,0,0,1.98,1085.9,1
69,1.3,20.73,77.98,0,0,2.06,1115.5,1
70,1.3,20.73,77.98,0,0,2.09,1128,1
71,1.3,20.73,77.98,0,0,1.91,1137.5,1
72,1.3,20.73,77.98,0,0,2.02,1206.8,1
73,1.3,20.73,77.98,0,0,1.91,1273.7,1
74,1.3,20.73,77.98,0,0,1.93,1282,1
75,1.3,20.73,77.98,0,0,2.05,1368,1
76,1.3,20.73,77.98,0,0,2.01,1414.8,1
77,1.3,20.73,77.98,0,0,1.92,1471.3,1
78,1.3,20.73,77.98,0,0,2.04,1519.8,1
79,1.3,20.73,77.98,0,0,2,1600.7,1
80,1.3,20.73,77.98,0,0,1.96,1683.8,1
81,1.3,20.73,77.98,0,0,10.69,1028.1,1
82,1.3,20.73,77.98,0,0,9.69,1058.1,1
83,1.3,20.73,77.98,0,0,10.37,1090.2,1
84,1.3,20.73,77.98,0,0,10.89,1114.9,1
85,1.3,20.73,77.98,0,0,10.31,1124.9,1
86,1.3,20.73,77.98,0,0,9.56,1177.6,1
87,1.3,20.73,77.98,0,0,10.05,1224.6,1
88,1.3,20.73,77.98,0,0,9.59,1247.2,1
89,1.3,20.73,77.98,0,0,10.95,1270,1
90,1.3,20.73,77.98,0,0,10.8,1306.3,1
91,1.3,20.73,77.98,0,0,10.78,1343.2,1
92,2.56,20.46,76.98,0,0,2.07,1169.5,2
93,2.56,20.46,76.98,0,0,2.1,1182.7,2
94,2.56,20.46,76.98,0,0,2.03,1209.3,2
95,2.56,20.46,76.98,0,0,2.1,1284.8,2
96,2.56,20.46,76.98,0,0,2,1300.2,2
97,2.56,20.46,76.98,0,0,1.99,1347,2
98,2.56,20.46,76.98,0,0,2,1402.6,2
99,2.56,20.46,76.98,0,0,2.08,1487.5,2
100,2.56,20.46,76.98,0,0,1.98,1544.4,2
101,2.56,20.46,76.98,0,0,9.68,1020.8,2
102,2.56,20.46,76.98,0,0,10.65,1075,2
103,2.56,20.46,76.98,0,0,9.38,1136.9,2
104,2.56,20.46,76.98,0,0,10.38,1218.1,2
105,2.56,20.46,76.98,0,0,9.63,1279.5,2
106,2.56,20.46,76.98,0,0,10.39,1372.2,2
107,0.64,20.87,78.5,0,0,1.92,1131.9,0.5
108,0.64,20.87,78.5,0,0,2.09,1179.2,0.5
109,0.64,20.87,78.5,0,0,2.1,1229.6,0.5
110,0.64,20.87,78.5,0,0,2.02,1294,0.5
111,0.64,20.87,78.5,0,0,2.09,1336.4,0.5
112,0.64,20.87,78.5,0,0,2.02,1408.6,0.5
