Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,Formula_H,Set,IDT_ms_pred
1,1.62,0.61,20.87,78.52,1.96,1091.5,20.07,Training,1.5279166666666673
4,0.619,0.61,20.87,78.52,1.98,1255.6,20.07,Training,0.6115666666666665
5,0.24,0.61,20.87,78.52,2.08,1327.2,20.07,Training,0.24675000000000008
6,0.171,0.61,20.87,78.52,1.96,1386.3,20.07,Training,0.15536666666666665
7,0.121,0.61,20.87,78.52,2.01,1457.9,20.07,Training,0.11723958333333337
9,0.077,0.61,20.87,78.52,2.04,1516.1,20.07,Training,0.07681585333333327
10,0.046,0.61,20.87,78.52,2.06,1585.2,20.07,Training,0.06092210666666624
17,0.025,0.61,20.87,78.52,10.6,1386.5,20.07,Training,0.05271750000000362
20,0.63,1.25,20.74,78.01,1.98,1261.5,20.07,Training,0.5846333333333333
22,0.211,1.25,20.74,78.01,2.0,1370.4,20.07,Training,0.1807833333333334
23,0.126,1.25,20.74,78.01,2.1,1434.5,20.07,Training,0.12568333333333337
26,0.041,1.25,20.74,78.01,2.05,1570.9,20.07,Training,0.056766666666666646
27,2.746,1.25,20.74,78.01,10.7,922.2,20.07,Training,3.1913516666666677
28,1.823,1.25,20.74,78.01,9.97,988.9,20.07,Training,1.6530999999999996
30,0.693,1.25,20.74,78.01,9.32,1069.5,20.07,Training,0.9905399999999995
32,0.358,1.25,20.74,78.01,10.0,1151.0,20.07,Training,0.3985083333333336
33,0.213,1.25,20.74,78.01,10.2,1211.2,20.07,Training,0.24879333333333317
34,0.126,1.25,20.74,78.01,9.91,1290.0,20.07,Training,0.14851166666666668
35,0.055,1.25,20.74,78.01,9.44,1355.9,20.07,Training,0.06497500000000003
37,1.552,2.47,20.48,77.05,2.0,1150.3,20.07,Training,1.3188333333333335
38,0.957,2.47,20.48,77.05,1.97,1194.0,20.07,Training,0.8220266666666666
39,0.827,2.47,20.48,77.05,1.98,1246.0,20.07,Training,0.6951416666666664
40,0.448,2.47,20.48,77.05,2.08,1325.5,20.07,Training,0.3807500000000001
41,0.208,2.47,20.48,77.05,2.08,1426.7,20.07,Training,0.1947333333333334
43,0.081,2.47,20.48,77.05,2.0,1553.6,20.07,Training,0.10255000000000011
45,0.916,2.47,20.48,77.05,9.55,1080.8,20.07,Training,0.8684033333333326
46,0.289,2.47,20.48,77.05,10.36,1161.2,20.07,Training,0.33156666666666673
47,0.198,2.47,20.48,77.05,10.24,1211.5,20.07,Training,0.24272333333333343
48,0.082,2.47,20.48,77.05,9.43,1332.9,20.07,Training,0.27236666666666703
52,0.759,0.65,20.86,78.48,1.91,1195.8,22.0,Training,0.7650500000000002
53,0.389,0.65,20.86,78.48,1.9,1266.4,22.0,Training,0.49813333333333304
54,0.204,0.65,20.86,78.48,2.07,1345.5,22.0,Training,0.20360000000000003
56,0.12,0.65,20.86,78.48,1.97,1432.7,22.0,Training,0.13254935666666667
