Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,Formula_H,Set,IDT_ms_pred
1,1.62,0.61,20.87,78.52,1.96,1091.5,20.07,Training,1.132118806763285
4,0.619,0.61,20.87,78.52,1.98,1255.6,20.07,Training,0.31098062388487785
5,0.24,0.61,20.87,78.52,2.08,1327.2,20.07,Training,0.18289898997578638
6,0.171,0.61,20.87,78.52,1.96,1386.3,20.07,Training,0.14478146189487706
7,0.121,0.61,20.87,78.52,2.01,1457.9,20.07,Training,0.14478146189487706
9,0.077,0.61,20.87,78.52,2.04,1516.1,20.07,Training,0.14478146189487706
10,0.046,0.61,20.87,78.52,2.06,1585.2,20.07,Training,0.14478146189487706
11,2.388,0.61,20.87,78.52,10.5,1070.7,20.07,Training,1.2643034278590353
12,0.643,0.61,20.87,78.52,10.9,1109.6,20.07,Training,0.45019367742667654
17,0.025,0.61,20.87,78.52,10.6,1386.5,20.07,Training,0.10701666189487646
22,0.211,1.25,20.74,78.01,2.0,1370.4,20.07,Training,0.14478146189487706
23,0.126,1.25,20.74,78.01,2.1,1434.5,20.07,Training,0.14478146189487706
26,0.041,1.25,20.74,78.01,2.05,1570.9,20.07,Training,0.14478146189487706
28,1.823,1.25,20.74,78.01,9.97,988.9,20.07,Training,1.6481627899517983
30,0.693,1.25,20.74,78.01,9.32,1069.5,20.07,Training,1.2643034278590353
33,0.213,1.25,20.74,78.01,10.2,1211.2,20.07,Training,0.2469140534460751
34,0.126,1.25,20.74,78.01,9.91,1290.0,20.07,Training,0.16821378161214945
35,0.055,1.25,20.74,78.01,9.44,1355.9,20.07,Training,0.13233092401352028
37,1.552,2.47,20.48,77.05,2.0,1150.3,20.07,Training,1.228191495726496
38,0.957,2.47,20.48,77.05,1.97,1194.0,20.07,Training,0.8254283294927295
40,0.448,2.47,20.48,77.05,2.08,1325.5,20.07,Training,0.18289898997578638
41,0.208,2.47,20.48,77.05,2.08,1426.7,20.07,Training,0.14478146189487706
43,0.081,2.47,20.48,77.05,2.0,1553.6,20.07,Training,0.14478146189487706
46,0.289,2.47,20.48,77.05,10.36,1161.2,20.07,Training,0.4026188068164649
47,0.198,2.47,20.48,77.05,10.24,1211.5,20.07,Training,0.2469140534460751
49,0.067,2.47,20.48,77.05,9.3,1356.6,20.07,Training,0.10701666189487646
52,0.759,0.65,20.86,78.48,1.91,1195.8,22.0,Training,0.8254283294927295
53,0.389,0.65,20.86,78.48,1.9,1266.4,22.0,Training,0.31098062388487785
54,0.204,0.65,20.86,78.48,2.07,1345.5,22.0,Training,0.18289898997578638
56,0.12,0.65,20.86,78.48,1.97,1432.7,22.0,Training,0.14478146189487706
57,0.058,0.65,20.86,78.48,1.99,1498.1,22.0,Training,0.14478146189487706
60,0.799,0.65,20.86,78.48,10.2,1110.7,22.0,Training,0.553024838832275
61,0.345,0.65,20.86,78.48,9.57,1172.9,22.0,Training,0.4026188068164649
63,0.156,0.65,20.86,78.48,10.67,1251.4,22.0,Training,0.20341848752124092
64,0.096,0.65,20.86,78.48,9.82,1289.3,22.0,Training,0.16821378161214945
66,0.04,0.65,20.86,78.48,10.56,1363.2,22.0,Training,0.10701666189487646
68,2.042,1.3,20.73,77.98,1.98,1085.9,22.0,Training,1.2422334099378884
70,1.188,1.3,20.73,77.98,2.09,1128.0,22.0,Training,1.13150019137867
72,0.661,1.3,20.73,77.98,2.02,1206.8,22.0,Training,0.649012944877345
74,0.467,1.3,20.73,77.98,1.93,1282.0,22.0,Training,0.31098062388487785
75,0.297,1.3,20.73,77.98,2.05,1368.0,22.0,Training,0.14478146189487706
76,0.186,1.3,20.73,77.98,2.01,1414.8,22.0,Training,0.14478146189487706
77,0.142,1.3,20.73,77.98,1.92,1471.3,22.0,Training,0.14478146189487706
79,0.056,1.3,20.73,77.98,2.0,1600.7,22.0,Training,0.14478146189487706
80,0.035,1.3,20.73,77.98,1.96,1683.8,22.0,Training,0.14478146189487706
81,1.493,1.3,20.73,77.98,10.69,1028.1,22.0,Training,1.4068731709041793
82,1.237,1.3,20.73,77.98,9.69,1058.1,22.0,Training,1.2643034278590353
84,0.399,1.3,20.73,77.98,10.89,1114.9,22.0,Training,0.45019367742667654
86,0.242,1.3,20.73,77.98,9.56,1177.6,22.0,Training,0.3694081987222335
87,0.174,1.3,20.73,77.98,10.05,1224.6,22.0,Training,0.2469140534460751
90,0.063,1.3,20.73,77.98,10.8,1306.3,22.0,Training,0.14513418997578573
91,0.042,1.3,20.73,77.98,10.78,1343.2,22.0,Training,0.14513418997578573
92,0.945,2.56,20.46,76.98,2.07,1169.5,22.0,Training,0.8043802700922266
96,0.434,2.56,20.46,76.98,2.0,1300.2,22.0,Training,0.3266711518811666
97,0.281,2.56,20.46,76.98,1.99,1347.0,22.0,Training,0.25991821070469595
98,0.175,2.56,20.46,76.98,2.0,1402.6,22.0,Training,0.25991821070469595
99,0.142,2.56,20.46,76.98,2.08,1487.5,22.0,Training,0.22593781854783324
100,0.092,2.56,20.46,76.98,1.98,1544.4,22.0,Training,0.22593781854783324
101,1.875,2.56,20.46,76.98,9.68,1020.8,22.0,Training,3.2437589587025877
102,0.731,2.56,20.46,76.98,10.65,1075.0,22.0,Training,1.1838421341038943
103,0.338,2.56,20.46,76.98,9.38,1136.9,22.0,Training,2.500867711952692
104,0.151,2.56,20.46,76.98,10.38,1218.1,22.0,Training,0.41274035717541385
105,0.085,2.56,20.46,76.98,9.63,1279.5,22.0,Training,0.41274035717541385
107,1.472,0.64,20.87,78.5,1.92,1131.9,21.035,Training,1.13150019137867
108,0.806,0.64,20.87,78.5,2.09,1179.2,21.035,Training,0.8254283294927295
109,0.368,0.64,20.87,78.5,2.1,1229.6,21.035,Training,0.4621539078773449
110,0.271,0.64,20.87,78.5,2.02,1294.0,21.035,Training,0.2757759179757864
112,0.08,0.64,20.87,78.5,2.02,1408.6,21.035,Training,0.14478146189487706
113,0.034,0.64,20.87,78.5,2.02,1511.2,21.035,Training,0.14478146189487706
114,1.82,0.64,20.87,78.5,9.42,1025.2,21.035,Training,1.5279666766513058
115,0.77,0.64,20.87,78.5,10.44,1099.3,21.035,Training,0.553024838832275
120,0.07,0.64,20.87,78.5,10.17,1310.0,21.035,Training,0.14513418997578573
122,1.322,1.27,20.73,78.0,2.07,1123.1,21.035,Training,1.13150019137867
126,0.533,1.27,20.73,78.0,2.09,1251.9,21.035,Training,0.31098062388487785
127,0.235,1.27,20.73,78.0,2.02,1308.3,21.035,Training,0.18289898997578638
128,0.15,1.27,20.73,78.0,2.02,1409.2,21.035,Training,0.14478146189487706
129,0.095,1.27,20.73,78.0,1.9,1456.7,21.035,Training,0.14478146189487706
130,0.052,1.27,20.73,78.0,2.06,1532.2,21.035,Training,0.14478146189487706
