Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set
1,1.62,0.61,20.87,78.52,1.96,1091.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
2,0.992,0.61,20.87,78.52,2.06,1157.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
3,0.815,0.61,20.87,78.52,2.03,1210.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
5,0.24,0.61,20.87,78.52,2.08,1327.2,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
6,0.171,0.61,20.87,78.52,1.96,1386.3,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
7,0.121,0.61,20.87,78.52,2.01,1457.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
9,0.077,0.61,20.87,78.52,2.04,1516.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
11,2.388,0.61,20.87,78.52,10.5,1070.7,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
12,0.643,0.61,20.87,78.52,10.9,1109.6,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Validation
13,0.344,0.61,20.87,78.52,9.31,1164.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
14,0.159,0.61,20.87,78.52,9.69,1281.8,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
15,0.03,0.61,20.87,78.52,10.7,1372.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Validation
16,0.024,0.61,20.87,78.52,10.8,1382.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
17,0.025,0.61,20.87,78.52,10.6,1386.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Validation
18,1.228,1.25,20.74,78.01,1.81,1095.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
19,1.1,1.25,20.74,78.01,2.1,1166.6,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
20,0.63,1.25,20.74,78.01,1.98,1261.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Validation
21,0.398,1.25,20.74,78.01,2.04,1312.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
22,0.211,1.25,20.74,78.01,2.0,1370.4,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
23,0.126,1.25,20.74,78.01,2.1,1434.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Validation
24,0.119,1.25,20.74,78.01,1.95,1484.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
25,0.07,1.25,20.74,78.01,1.89,1484.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Validation
26,0.041,1.25,20.74,78.01,2.05,1570.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
27,2.746,1.25,20.74,78.01,10.7,922.2,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
28,1.823,1.25,20.74,78.01,9.97,988.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
29,1.475,1.25,20.74,78.01,9.42,1011.4,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Validation
30,0.693,1.25,20.74,78.01,9.32,1069.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Validation
31,0.684,1.25,20.74,78.01,9.65,1084.4,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
32,0.358,1.25,20.74,78.01,10.0,1151.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
33,0.213,1.25,20.74,78.01,10.2,1211.2,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
34,0.126,1.25,20.74,78.01,9.91,1290.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
35,0.055,1.25,20.74,78.01,9.44,1355.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
36,0.013,1.25,20.74,78.01,10.14,1439.4,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
37,1.552,2.47,20.48,77.05,2.0,1150.3,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
38,0.957,2.47,20.48,77.05,1.97,1194.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Validation
39,0.827,2.47,20.48,77.05,1.98,1246.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
40,0.448,2.47,20.48,77.05,2.08,1325.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
41,0.208,2.47,20.48,77.05,2.08,1426.7,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
42,0.163,2.47,20.48,77.05,1.93,1477.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
43,0.081,2.47,20.48,77.05,2.0,1553.6,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
44,1.81,2.47,20.48,77.05,11.1,1041.4,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Validation
45,0.916,2.47,20.48,77.05,9.55,1080.8,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
46,0.289,2.47,20.48,77.05,10.36,1161.2,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
47,0.198,2.47,20.48,77.05,10.24,1211.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training
