Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
1,1.62,0.61,20.87,78.52,1.96,1091.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,1.6200000000000003
3,0.815,0.61,20.87,78.52,2.03,1210.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.8392
5,0.24,0.61,20.87,78.52,2.08,1327.2,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.30340000000000006
6,0.171,0.61,20.87,78.52,1.96,1386.3,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.16960000000000003
7,0.121,0.61,20.87,78.52,2.01,1457.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.1192
9,0.077,0.61,20.87,78.52,2.04,1516.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.0626
11,2.388,0.61,20.87,78.52,10.5,1070.7,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,2.0468
13,0.344,0.61,20.87,78.52,9.31,1164.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.3492
14,0.159,0.61,20.87,78.52,9.69,1281.8,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.1458
16,0.024,0.61,20.87,78.52,10.8,1382.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.07600000000000001
18,1.228,1.25,20.74,78.01,1.81,1095.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,1.266
19,1.1,1.25,20.74,78.01,2.1,1166.6,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.8883999999999999
20,0.63,1.25,20.74,78.01,1.98,1261.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.6694
21,0.398,1.25,20.74,78.01,2.04,1312.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.40920000000000006
22,0.211,1.25,20.74,78.01,2.0,1370.4,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.21680000000000002
24,0.119,1.25,20.74,78.01,1.95,1484.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.1142
26,0.041,1.25,20.74,78.01,2.05,1570.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.05399999999999994
27,2.746,1.25,20.74,78.01,10.7,922.2,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,3.2744
28,1.823,1.25,20.74,78.01,9.97,988.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,1.6384
31,0.684,1.25,20.74,78.01,9.65,1084.4,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.7824000000000002
32,0.358,1.25,20.74,78.01,10.0,1151.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.4334
33,0.213,1.25,20.74,78.01,10.2,1211.2,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.2598000000000001
