Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
1,1.62,0.61,20.87,78.52,1.96,1091.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,1.5136300000000018
3,0.815,0.61,20.87,78.52,2.03,1210.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.8128599999999991
5,0.24,0.61,20.87,78.52,2.08,1327.2,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.2663319999999998
6,0.171,0.61,20.87,78.52,1.96,1386.3,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.16025999999999985
7,0.121,0.61,20.87,78.52,2.01,1457.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.11507000000000012
9,0.077,0.61,20.87,78.52,2.04,1516.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.07306315600000395
11,2.388,0.61,20.87,78.52,10.5,1070.7,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,1.9370810000000023
13,0.344,0.61,20.87,78.52,9.31,1164.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.4230310000000002
14,0.159,0.61,20.87,78.52,9.69,1281.8,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.17601000000000006
16,0.024,0.61,20.87,78.52,10.8,1382.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.054842800000000004
18,1.228,1.25,20.74,78.01,1.81,1095.0,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,1.2530099999999993
19,1.1,1.25,20.74,78.01,2.1,1166.6,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,1.0865699999999994
20,0.63,1.25,20.74,78.01,1.98,1261.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.5428600000000008
21,0.398,1.25,20.74,78.01,2.04,1312.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.35128000000000015
22,0.211,1.25,20.74,78.01,2.0,1370.4,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.21099999999999985
23,0.126,1.25,20.74,78.01,2.1,1434.5,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.13023999999999997
24,0.119,1.25,20.74,78.01,1.95,1484.1,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.11139999999999994
26,0.041,1.25,20.74,78.01,2.05,1570.9,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,0.05819111200000179
27,2.746,1.25,20.74,78.01,10.7,922.2,28.8996301,26.27306416,10.93039112,7.681035334,4.0141944,20.07,Training,3.5774099999999986
