Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,n-i-alkanes,cyclic-alkanes,Aromatics,Formula_H,Set,IDT_ms_pred
1,1.62,0.61,20.87,78.52,1.96,1091.5,51.10131499,37.20345527,7.681035334,20.07,Training,1.3868517968860465
2,0.992,0.61,20.87,78.52,2.06,1157.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.8631725870943381
3,0.815,0.61,20.87,78.52,2.03,1210.0,51.10131499,37.20345527,7.681035334,20.07,Training,0.6258783700588236
5,0.24,0.61,20.87,78.52,2.08,1327.2,51.10131499,37.20345527,7.681035334,20.07,Training,0.3569308849265138
6,0.171,0.61,20.87,78.52,1.96,1386.3,51.10131499,37.20345527,7.681035334,20.07,Training,0.2569880204505168
7,0.121,0.61,20.87,78.52,2.01,1457.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.24789687534477794
9,0.077,0.61,20.87,78.52,2.04,1516.1,51.10131499,37.20345527,7.681035334,20.07,Training,0.22991729309882614
10,0.046,0.61,20.87,78.52,2.06,1585.2,51.10131499,37.20345527,7.681035334,20.07,Training,0.2247951822872264
11,2.388,0.61,20.87,78.52,10.5,1070.7,51.10131499,37.20345527,7.681035334,20.07,Training,1.4383615825340577
13,0.344,0.61,20.87,78.52,9.31,1164.1,51.10131499,37.20345527,7.681035334,20.07,Training,0.5495644333350967
16,0.024,0.61,20.87,78.52,10.8,1382.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.2673412096362647
19,1.1,1.25,20.74,78.01,2.1,1166.6,51.10131499,37.20345527,7.681035334,20.07,Training,0.8167161905819047
21,0.398,1.25,20.74,78.01,2.04,1312.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.3762243046763516
22,0.211,1.25,20.74,78.01,2.0,1370.4,51.10131499,37.20345527,7.681035334,20.07,Training,0.26578613490555586
23,0.126,1.25,20.74,78.01,2.1,1434.5,51.10131499,37.20345527,7.681035334,20.07,Training,0.2619544163618516
26,0.041,1.25,20.74,78.01,2.05,1570.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.22976157819856124
27,2.746,1.25,20.74,78.01,10.7,922.2,51.10131499,37.20345527,7.681035334,20.07,Training,3.1986872017241206
28,1.823,1.25,20.74,78.01,9.97,988.9,51.10131499,37.20345527,7.681035334,20.07,Training,1.5100489285681256
30,0.693,1.25,20.74,78.01,9.32,1069.5,51.10131499,37.20345527,7.681035334,20.07,Training,1.164041585890467
32,0.358,1.25,20.74,78.01,10.0,1151.0,51.10131499,37.20345527,7.681035334,20.07,Training,0.5382455871069546
33,0.213,1.25,20.74,78.01,10.2,1211.2,51.10131499,37.20345527,7.681035334,20.07,Training,0.30107746390109413
34,0.126,1.25,20.74,78.01,9.91,1290.0,51.10131499,37.20345527,7.681035334,20.07,Training,0.2532752268882024
35,0.055,1.25,20.74,78.01,9.44,1355.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.17516837131063334
36,0.013,1.25,20.74,78.01,10.14,1439.4,51.10131499,37.20345527,7.681035334,20.07,Training,0.1773916505444335
37,1.552,2.47,20.48,77.05,2.0,1150.3,51.10131499,37.20345527,7.681035334,20.07,Training,1.0903430396797194
39,0.827,2.47,20.48,77.05,1.98,1246.0,51.10131499,37.20345527,7.681035334,20.07,Training,0.5698095841472866
40,0.448,2.47,20.48,77.05,2.08,1325.5,51.10131499,37.20345527,7.681035334,20.07,Training,0.4143942206506428
41,0.208,2.47,20.48,77.05,2.08,1426.7,51.10131499,37.20345527,7.681035334,20.07,Training,0.29139504521249465
42,0.163,2.47,20.48,77.05,1.93,1477.1,51.10131499,37.20345527,7.681035334,20.07,Training,0.26097264686461064
43,0.081,2.47,20.48,77.05,2.0,1553.6,51.10131499,37.20345527,7.681035334,20.07,Training,0.2558505360530109
44,1.81,2.47,20.48,77.05,11.1,1041.4,51.10131499,37.20345527,7.681035334,20.07,Training,1.3383286582195544
45,0.916,2.47,20.48,77.05,9.55,1080.8,51.10131499,37.20345527,7.681035334,20.07,Training,1.0020287376099068
46,0.289,2.47,20.48,77.05,10.36,1161.2,51.10131499,37.20345527,7.681035334,20.07,Training,0.5258307489874845
47,0.198,2.47,20.48,77.05,10.24,1211.5,51.10131499,37.20345527,7.681035334,20.07,Training,0.3266863281460886
