Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,n-i-alkanes,cyclic-alkanes,Aromatics,Formula_H,Set,IDT_ms_pred
1,1.62,0.61,20.87,78.52,1.96,1091.5,51.10131499,37.20345527,7.681035334,20.07,Training,1.5111000000000008
2,0.992,0.61,20.87,78.52,2.06,1157.9,51.10131499,37.20345527,7.681035334,20.07,Training,1.163
3,0.815,0.61,20.87,78.52,2.03,1210.0,51.10131499,37.20345527,7.681035334,20.07,Training,0.76495
4,0.619,0.61,20.87,78.52,1.98,1255.6,51.10131499,37.20345527,7.681035334,20.07,Training,0.6416000000000001
5,0.24,0.61,20.87,78.52,2.08,1327.2,51.10131499,37.20345527,7.681035334,20.07,Training,0.2817000000000001
6,0.171,0.61,20.87,78.52,1.96,1386.3,51.10131499,37.20345527,7.681035334,20.07,Training,0.1581
7,0.121,0.61,20.87,78.52,2.01,1457.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.11955000000000003
9,0.077,0.61,20.87,78.52,2.04,1516.1,51.10131499,37.20345527,7.681035334,20.07,Training,0.06149999999999999
10,0.046,0.61,20.87,78.52,2.06,1585.2,51.10131499,37.20345527,7.681035334,20.07,Training,0.05194807000000001
11,2.388,0.61,20.87,78.52,10.5,1070.7,51.10131499,37.20345527,7.681035334,20.07,Training,1.6331199999999997
12,0.643,0.61,20.87,78.52,10.9,1109.6,51.10131499,37.20345527,7.681035334,20.07,Training,0.6900600000000002
13,0.344,0.61,20.87,78.52,9.31,1164.1,51.10131499,37.20345527,7.681035334,20.07,Training,0.4305000000000001
16,0.024,0.61,20.87,78.52,10.8,1382.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.04170000000000004
19,1.1,1.25,20.74,78.01,2.1,1166.6,51.10131499,37.20345527,7.681035334,20.07,Training,1.0567500000000003
20,0.63,1.25,20.74,78.01,1.98,1261.5,51.10131499,37.20345527,7.681035334,20.07,Training,0.58455
21,0.398,1.25,20.74,78.01,2.04,1312.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.32614999999999994
22,0.211,1.25,20.74,78.01,2.0,1370.4,51.10131499,37.20345527,7.681035334,20.07,Training,0.19559999999999997
23,0.126,1.25,20.74,78.01,2.1,1434.5,51.10131499,37.20345527,7.681035334,20.07,Training,0.12669999999999998
25,0.07,1.25,20.74,78.01,1.89,1484.1,51.10131499,37.20345527,7.681035334,20.07,Training,0.08645000000000003
26,0.041,1.25,20.74,78.01,2.05,1570.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.05100000000000002
27,2.746,1.25,20.74,78.01,10.7,922.2,51.10131499,37.20345527,7.681035334,20.07,Training,3.7574799999999997
28,1.823,1.25,20.74,78.01,9.97,988.9,51.10131499,37.20345527,7.681035334,20.07,Training,1.8375150000000002
30,0.693,1.25,20.74,78.01,9.32,1069.5,51.10131499,37.20345527,7.681035334,20.07,Training,1.0084500000000003
32,0.358,1.25,20.74,78.01,10.0,1151.0,51.10131499,37.20345527,7.681035334,20.07,Training,0.4575
33,0.213,1.25,20.74,78.01,10.2,1211.2,51.10131499,37.20345527,7.681035334,20.07,Training,0.25215
34,0.126,1.25,20.74,78.01,9.91,1290.0,51.10131499,37.20345527,7.681035334,20.07,Training,0.13169999999999996
35,0.055,1.25,20.74,78.01,9.44,1355.9,51.10131499,37.20345527,7.681035334,20.07,Training,0.0614
36,0.013,1.25,20.74,78.01,10.14,1439.4,51.10131499,37.20345527,7.681035334,20.07,Training,0.029400000000007767
37,1.552,2.47,20.48,77.05,2.0,1150.3,51.10131499,37.20345527,7.681035334,20.07,Training,1.3060999999999998
38,0.957,2.47,20.48,77.05,1.97,1194.0,51.10131499,37.20345527,7.681035334,20.07,Training,0.9033500000000002
39,0.827,2.47,20.48,77.05,1.98,1246.0,51.10131499,37.20345527,7.681035334,20.07,Training,0.7566999999999999
40,0.448,2.47,20.48,77.05,2.08,1325.5,51.10131499,37.20345527,7.681035334,20.07,Training,0.32900000000000007
41,0.208,2.47,20.48,77.05,2.08,1426.7,51.10131499,37.20345527,7.681035334,20.07,Training,0.1752
42,0.163,2.47,20.48,77.05,1.93,1477.1,51.10131499,37.20345527,7.681035334,20.07,Training,0.14719999999999997
43,0.081,2.47,20.48,77.05,2.0,1553.6,51.10131499,37.20345527,7.681035334,20.07,Training,0.08854878
44,1.81,2.47,20.48,77.05,11.1,1041.4,51.10131499,37.20345527,7.681035334,20.07,Training,1.516215
45,0.916,2.47,20.48,77.05,9.55,1080.8,51.10131499,37.20345527,7.681035334,20.07,Training,1.3633500000000005
46,0.289,2.47,20.48,77.05,10.36,1161.2,51.10131499,37.20345527,7.681035334,20.07,Training,0.32410000000000005
47,0.198,2.47,20.48,77.05,10.24,1211.5,51.10131499,37.20345527,7.681035334,20.07,Training,0.21254499999999998
49,0.067,2.47,20.48,77.05,9.3,1356.6,51.10131499,37.20345527,7.681035334,20.07,Training,0.06285
