Point,IDT_ms,X_Fuel,X_N2,P,T,Formula_C,n-C9,n-C14,n-C15,n-C18,mono-c-C12,mono-c-C15,poly-c-C14,poly-c-C15,aro-C11,aro-C13,Set,IDT_ms_pred
1,1.62,0.61,78.52,1.96,1091.5,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,1.4907249999999994
2,0.992,0.61,78.52,2.06,1157.9,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,1.1275749999999998
3,0.815,0.61,78.52,2.03,1210.0,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.7757500000000003
4,0.619,0.61,78.52,1.98,1255.6,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.5558249999999999
5,0.24,0.61,78.52,2.08,1327.2,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.2722000000000001
6,0.171,0.61,78.52,1.96,1386.3,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.17485000000000006
7,0.121,0.61,78.52,2.01,1457.9,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.13185000000000002
9,0.077,0.61,78.52,2.04,1516.1,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.09902500000000002
10,0.046,0.61,78.52,2.06,1585.2,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.07037500000000001
12,0.643,0.61,78.52,10.9,1109.6,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.7930450000000003
13,0.344,0.61,78.52,9.31,1164.1,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.4706349999999998
14,0.159,0.61,78.52,9.69,1281.8,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.19847499999999996
16,0.024,0.61,78.52,10.8,1382.9,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.05245499999999992
17,0.025,0.61,78.52,10.6,1386.5,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.0463174999999999
18,1.228,1.25,78.01,1.81,1095.0,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,1.3301000000000003
19,1.1,1.25,78.01,2.1,1166.6,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,1.0066250000000003
20,0.63,1.25,78.01,1.98,1261.5,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.5463999999999999
21,0.398,1.25,78.01,2.04,1312.9,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.3794499999999999
22,0.211,1.25,78.01,2.0,1370.4,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.19160000000000005
23,0.126,1.25,78.01,2.1,1434.5,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.11507499999999998
25,0.07,1.25,78.01,1.89,1484.1,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.086175
26,0.041,1.25,78.01,2.05,1570.9,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.06475
28,1.823,1.25,78.01,9.97,988.9,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,1.8841762499999994
30,0.693,1.25,78.01,9.32,1069.5,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,1.1765750000000001
32,0.358,1.25,78.01,10.0,1151.0,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.39037500000000025
33,0.213,1.25,78.01,10.2,1211.2,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.2695099999999999
35,0.055,1.25,78.01,9.44,1355.9,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.07447500000000001
36,0.013,1.25,78.01,10.14,1439.4,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.049599999999999936
38,0.957,2.47,77.05,1.97,1194.0,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.8914000000000004
39,0.827,2.47,77.05,1.98,1246.0,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.67815
40,0.448,2.47,77.05,2.08,1325.5,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.3560750000000002
41,0.208,2.47,77.05,2.08,1426.7,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.14785000000000004
